,course number,course name
0,AB100,Auto Body Basic Skills 
1,AB117,Auto Painting II 
2,AB201,Panel Replacement 
3,AB205,Tech Skills/Collision Repair 
4,AB280A,CE: Auto Body Repair 
5,AB280B,CE: Auto Body Repair - Seminar 
6,ABE0782,ABE Foundations of Math 1 
7,ABE0790,Intermediate RD & WR 
8,ABE0790,Intermediate RD & WR 
9,AD101,Addiction 
10,AD102,Drug Use and Addiction 
11,AD104,Multicultural Counseling 
12,AD106,Nicotine Cessation 
13,AD107,Addiction Recovery Mentor 
14,AD110,Substance Abuse Prevention 
15,AD152,Group Counsel and Addiction 
16,AD153,Theories of Counseling 
17,AD154,Client Record Mgmt & Addiction 
18,AD156,Prof Ethics Issues Counseling 
19,AD160,Basic Counseling 
20,AD161,Motivational Interview/Addict 
21,AD184,Men & Addiction 
22,AD255,Multiple Diagnoses 
23,AD270A,Practicum: Addiction 
24,AD270B,Practicum: Addiction- Seminar 
25,AD278,Practicum Prep 
