cylinder,square,triangle
1.967,0.506,0.755
1.777,0.801,0.671
1.75,0.563,0.494
1.632,0.588,0.665
1.298,0.523,0.672
1.09,0.603,0.674
1.08,0.519,0.591
1.06,0.551,0.692
0.967,0.97,0.833
0.935,0.717,0.76
0.916,0.801,0.819
0.914,0.534,0.681
0.892,0.59,0.7
0.865,1.127,0.635
0.846,0.496,0.598
0.832,0.509,0.588
0.824,0.638,0.656
0.82,0.535,0.607
0.818,0.541,0.744
0.816,0.64,0.67
0.801,0.619,0.534
0.801,0.584,0.494
0.798,0.596,0.682
0.794,0.615,0.68
0.794,0.639,0.785
0.779,0.52,0.602
0.772,0.584,0.68
0.772,0.801,0.679
0.767,0.689,0.649
0.759,1,0.508
0.757,0.544,0.487
0.751,0.512,0.633
0.75,0.51,0.48
0.749,0.682,0.745
0.746,0.454,0.747
0.746,0.575,0.689
0.745,0.51,0.52
0.741,0.514,0.468
0.74,0.522,0.921
0.738,0.559,0.612
0.738,0.7,0.742
0.737,0.648,0.473
0.735,0.542,0.532
0.715,0.685,0.666
0.715,0.594,0.667
0.715,0.587,0.634
0.714,0.563,0.695
0.714,0.587,0.647
0.714,0.627,0.566
0.712,0.527,0.437
0.71,0.801,0.613
0.71,0.559,0.507
0.709,0.539,0.612
0.706,0.578,0.596
0.706,0.683,0.595
0.704,0.801,0.744
0.704,0.668,0.629
0.702,0.539,0.483
0.701,0.889,0.834
0.7,0.574,0.602
0.699,0.6,0.598
0.699,0.615,0.686
0.697,0.619,0.686
0.696,0.449,0.58
0.695,0.468,0.55
0.695,0.625,0.923
0.694,0.592,0.639
0.692,0.681,0.681
0.69,0.775,0.479
0.689,0.624,0.546
0.688,0.528,0.635
0.687,0.541,0.697
0.686,0.612,0.822
0.685,0.801,0.622
0.685,0.674,0.587
0.683,0.509,0.659
0.683,0.493,0.639
0.681,0.777,0.732
0.678,0.593,0.689
0.676,0.55,0.511
0.675,0.593,0.693
0.674,0.974,0.592
0.674,0.431,0.658
0.674,0.567,0.52
0.67,0.616,0.854
0.67,0.589,0.488
0.67,0.705,0.51
0.67,0.594,0.681
0.669,0.96,0.67
0.668,0.596,0.601
0.667,0.626,0.746
0.666,0.489,0.632
0.663,0.63,0.704
0.663,0.507,0.597
0.658,0.593,0.442
0.656,0.595,0.674
0.655,0.801,0.653
0.653,0.586,0.648
0.653,0.499,0.598
0.651,0.588,0.557
0.648,0.563,0.715
0.643,0.583,0.562
0.643,0.658,0.669
0.64,0.512,0.648
0.637,0.646,0.7
0.629,0.639,0.942
0.622,0.543,0.677
0.621,0.454,0.646
0.616,0.57,0.727
0.613,0.801,0.615
0.596,0.702,0.7
0.59,0.523,0.732
0.585,0.666,0.751
0.578,0.814,0.777
0.578,0.456,0.558
0.577,0.58,0.689
0.576,0.729,0.629
0.572,0.629,0.759
0.572,0.453,0.613
0.57,0.51,0.2
0.558,0.844,0.801
0.55,0.826,0.572
0.541,0.682,0.592
0.535,0.657,0.685
0.534,0.576,0.472
0.521,0.666,0.603
0.518,0.596,0.66
0.514,0.713,0.941
0.514,0.631,0.773
0.512,0.201,0.67
0.511,0.681,0.594
0.509,0.42,0.657
0.505,0.511,0.761
0.495,0.589,0.619
0.494,0.423,0.608
0.475,0.433,0.701
0.473,0.536,0.801
0.461,0.541,0.718
0.458,0.583,0.69
0.45,0.564,0.588
0.449,0.474,0.54
0.449,0.594,0.684
0.449,0.656,0.591
0.448,0.552,0.72
0.446,0.669,0.509
0.441,0.627,0.687
0.44,0.62,0.435
0.434,0.587,0.591
0.433,0.494,0.607
0.432,0.463,0.711
0.43,0.362,0.444
0.426,0.587,0.739
0.383,0.44,0.683
0.319,0.196,0.758
0.283,0.623,0.533
0.136,0.646,0.615
